ARK1	FGFR1
KAPC	CDK6
CAK1	TBK1
EIF3G	EIF3G
STE13	DPP6
RAD50	RAD50
CAK1	FGFR3
SSO2	STX3
CDC15	JAK2
CAB5	DCAKD
RPD3	HDAC1
KIC1	FGFR1
BNR1	FMNL3
KSP1	CDK4
AP3S	AP3S1
SEC5	EXOC2
SWI5	PRDM1
NOP4	RBM28
BNI1	FMNL1
STE20	PAK1
CBK1	CDK4
CDC15	FYN
GFA1	GFPT1
CDC7	CDK6
SIF2	TBL1X
HFA1	ACACA
CYPD	PPIB
